/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 1 | Batch 10/1337] Loss: 122.809418
[Epoch 1 | Batch 20/1337] Loss: 70.567284
[Epoch 1 | Batch 30/1337] Loss: 67.127037
[Epoch 1 | Batch 40/1337] Loss: 44.819695
[Epoch 1 | Batch 50/1337] Loss: 45.505703
[Epoch 1 | Batch 60/1337] Loss: 29.170658
[Epoch 1 | Batch 70/1337] Loss: 19.720472
[Epoch 1 | Batch 80/1337] Loss: 35.118858
[Epoch 1 | Batch 90/1337] Loss: 37.835388
[Epoch 1 | Batch 100/1337] Loss: 29.849369
