/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 1 | Batch 1100/1337] Loss: 0.211477
[Epoch 1 | Batch 1110/1337] Loss: 0.166693
[Epoch 1 | Batch 1120/1337] Loss: 0.278705
[Epoch 1 | Batch 1130/1337] Loss: 0.189527
[Epoch 1 | Batch 1140/1337] Loss: 0.151464
[Epoch 1 | Batch 1150/1337] Loss: 0.273443
[Epoch 1 | Batch 1160/1337] Loss: 0.393903
[Epoch 1 | Batch 1170/1337] Loss: 0.275348
[Epoch 1 | Batch 1180/1337] Loss: 0.313250
[Epoch 1 | Batch 1190/1337] Loss: 0.201511
[Epoch 1 | Batch 1200/1337] Loss: 0.151231
[Epoch 1 | Batch 1210/1337] Loss: 0.214295
[Epoch 1 | Batch 1220/1337] Loss: 0.171915
[Epoch 1 | Batch 1230/1337] Loss: 0.168078
[Epoch 1 | Batch 1240/1337] Loss: 0.183834
[Epoch 1 | Batch 1250/1337] Loss: 0.204275
[Epoch 1 | Batch 1260/1337] Loss: 0.232786
[Epoch 1 | Batch 1270/1337] Loss: 0.210361
[Epoch 1 | Batch 1280/1337] Loss: 0.141329
[Epoch 1 | Batch 1290/1337] Loss: 0.356893
[Epoch 1 | Batch 1300/1337] Loss: 0.185383
[Epoch 1 | Batch 1310/1337] Loss: 0.207228
[Epoch 1 | Batch 1320/1337] Loss: 0.234365
[Epoch 1 | Batch 1330/1337] Loss: 0.190090
Train Loss: 0.473695 | Val Loss: 0.317300
✓ Best model saved

Epoch 2/6
[Epoch 2 | Batch 10/1337] Loss: 0.186642
[Epoch 2 | Batch 20/1337] Loss: 0.213461
[Epoch 2 | Batch 30/1337] Loss: 0.227483
[Epoch 2 | Batch 40/1337] Loss: 0.289785
[Epoch 2 | Batch 50/1337] Loss: 0.215677
[Epoch 2 | Batch 60/1337] Loss: 0.179155
[Epoch 2 | Batch 70/1337] Loss: 0.239789
[Epoch 2 | Batch 80/1337] Loss: 0.219894
[Epoch 2 | Batch 90/1337] Loss: 0.304659
[Epoch 2 | Batch 100/1337] Loss: 0.150582
[Epoch 2 | Batch 110/1337] Loss: 0.167051
[Epoch 2 | Batch 120/1337] Loss: 0.195499
[Epoch 2 | Batch 130/1337] Loss: 0.269627
[Epoch 2 | Batch 140/1337] Loss: 0.246255
[Epoch 2 | Batch 150/1337] Loss: 0.262059
[Epoch 2 | Batch 160/1337] Loss: 0.155730
[Epoch 2 | Batch 170/1337] Loss: 0.234665
[Epoch 2 | Batch 180/1337] Loss: 0.196239
[Epoch 2 | Batch 190/1337] Loss: 0.258561
[Epoch 2 | Batch 200/1337] Loss: 0.171203
[Epoch 2 | Batch 210/1337] Loss: 0.176798
[Epoch 2 | Batch 220/1337] Loss: 0.159526
[Epoch 2 | Batch 230/1337] Loss: 0.149386
[Epoch 2 | Batch 240/1337] Loss: 0.183317
[Epoch 2 | Batch 250/1337] Loss: 0.192343
[Epoch 2 | Batch 260/1337] Loss: 0.141195
[Epoch 2 | Batch 270/1337] Loss: 0.155166
[Epoch 2 | Batch 280/1337] Loss: 0.147825
[Epoch 2 | Batch 290/1337] Loss: 0.275940
[Epoch 2 | Batch 300/1337] Loss: 0.190308
[Epoch 2 | Batch 310/1337] Loss: 0.144150
[Epoch 2 | Batch 320/1337] Loss: 0.180858
[Epoch 2 | Batch 330/1337] Loss: 0.145020
[Epoch 2 | Batch 340/1337] Loss: 0.168195
[Epoch 2 | Batch 350/1337] Loss: 0.202778
[Epoch 2 | Batch 360/1337] Loss: 0.172053
[Epoch 2 | Batch 370/1337] Loss: 0.149607
[Epoch 2 | Batch 380/1337] Loss: 0.120247
[Epoch 2 | Batch 390/1337] Loss: 0.183821
[Epoch 2 | Batch 400/1337] Loss: 0.104524
[Epoch 2 | Batch 410/1337] Loss: 0.153946
[Epoch 2 | Batch 420/1337] Loss: 0.145948
[Epoch 2 | Batch 430/1337] Loss: 0.131828
[Epoch 2 | Batch 440/1337] Loss: 0.192713
[Epoch 2 | Batch 450/1337] Loss: 0.170044
[Epoch 2 | Batch 460/1337] Loss: 0.137095
[Epoch 2 | Batch 470/1337] Loss: 0.129970
[Epoch 2 | Batch 480/1337] Loss: 0.181785
[Epoch 2 | Batch 490/1337] Loss: 0.123628
[Epoch 2 | Batch 500/1337] Loss: 0.204083
[Epoch 2 | Batch 510/1337] Loss: 0.200913
[Epoch 2 | Batch 520/1337] Loss: 0.194458
[Epoch 2 | Batch 530/1337] Loss: 0.120226
[Epoch 2 | Batch 540/1337] Loss: 0.143886
[Epoch 2 | Batch 550/1337] Loss: 0.118789
[Epoch 2 | Batch 560/1337] Loss: 0.251857
[Epoch 2 | Batch 570/1337] Loss: 0.131878
[Epoch 2 | Batch 580/1337] Loss: 0.161595
[Epoch 2 | Batch 590/1337] Loss: 0.201184
[Epoch 2 | Batch 600/1337] Loss: 0.180384
[Epoch 2 | Batch 610/1337] Loss: 0.235794
[Epoch 2 | Batch 620/1337] Loss: 0.192394
[Epoch 2 | Batch 630/1337] Loss: 0.240306
[Epoch 2 | Batch 640/1337] Loss: 0.104661
[Epoch 2 | Batch 650/1337] Loss: 0.109746
[Epoch 2 | Batch 660/1337] Loss: 0.157691
[Epoch 2 | Batch 670/1337] Loss: 0.146427
[Epoch 2 | Batch 680/1337] Loss: 0.194804
[Epoch 2 | Batch 690/1337] Loss: 0.115953
[Epoch 2 | Batch 700/1337] Loss: 0.226700
[Epoch 2 | Batch 710/1337] Loss: 0.148484
[Epoch 2 | Batch 720/1337] Loss: 0.128969
[Epoch 2 | Batch 730/1337] Loss: 0.123610
[Epoch 2 | Batch 740/1337] Loss: 0.137782
[Epoch 2 | Batch 750/1337] Loss: 0.105374
[Epoch 2 | Batch 760/1337] Loss: 0.125895
[Epoch 2 | Batch 770/1337] Loss: 0.143676
[Epoch 2 | Batch 780/1337] Loss: 0.129584
[Epoch 2 | Batch 790/1337] Loss: 0.131369
[Epoch 2 | Batch 800/1337] Loss: 0.100325
[Epoch 2 | Batch 810/1337] Loss: 0.142063
[Epoch 2 | Batch 820/1337] Loss: 0.199406
[Epoch 2 | Batch 830/1337] Loss: 0.112698
[Epoch 2 | Batch 840/1337] Loss: 0.159142
[Epoch 2 | Batch 850/1337] Loss: 0.109882
[Epoch 2 | Batch 860/1337] Loss: 0.154130
[Epoch 2 | Batch 870/1337] Loss: 0.120668
[Epoch 2 | Batch 880/1337] Loss: 0.095911
[Epoch 2 | Batch 890/1337] Loss: 0.160684
[Epoch 2 | Batch 900/1337] Loss: 0.111798
