/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 1 | Batch 1100/1337] Loss: 0.024852
[Epoch 1 | Batch 1110/1337] Loss: 0.043437
[Epoch 1 | Batch 1120/1337] Loss: 0.027185
[Epoch 1 | Batch 1130/1337] Loss: 0.037405
[Epoch 1 | Batch 1140/1337] Loss: 0.036504
[Epoch 1 | Batch 1150/1337] Loss: 0.034943
[Epoch 1 | Batch 1160/1337] Loss: 0.019584
[Epoch 1 | Batch 1170/1337] Loss: 0.043525
[Epoch 1 | Batch 1180/1337] Loss: 0.038702
[Epoch 1 | Batch 1190/1337] Loss: 0.028301
[Epoch 1 | Batch 1200/1337] Loss: 0.031049
[Epoch 1 | Batch 1210/1337] Loss: 0.030389
[Epoch 1 | Batch 1220/1337] Loss: 0.035533
[Epoch 1 | Batch 1230/1337] Loss: 0.049563
[Epoch 1 | Batch 1240/1337] Loss: 0.035671
[Epoch 1 | Batch 1250/1337] Loss: 0.033773
[Epoch 1 | Batch 1260/1337] Loss: 0.050982
[Epoch 1 | Batch 1270/1337] Loss: 0.042162
[Epoch 1 | Batch 1280/1337] Loss: 0.046782
[Epoch 1 | Batch 1290/1337] Loss: 0.032881
[Epoch 1 | Batch 1300/1337] Loss: 0.047353
[Epoch 1 | Batch 1310/1337] Loss: 0.034743
[Epoch 1 | Batch 1320/1337] Loss: 0.051672
[Epoch 1 | Batch 1330/1337] Loss: 0.035623
Train Loss: 0.086023 | Val Loss: 0.076075
✓ Best model saved

Epoch 2/6
[Epoch 2 | Batch 10/1337] Loss: 0.021291
[Epoch 2 | Batch 20/1337] Loss: 0.030124
[Epoch 2 | Batch 30/1337] Loss: 0.027110
[Epoch 2 | Batch 40/1337] Loss: 0.027345
[Epoch 2 | Batch 50/1337] Loss: 0.030825
[Epoch 2 | Batch 60/1337] Loss: 0.029107
[Epoch 2 | Batch 70/1337] Loss: 0.022674
[Epoch 2 | Batch 80/1337] Loss: 0.031648
[Epoch 2 | Batch 90/1337] Loss: 0.031264
[Epoch 2 | Batch 100/1337] Loss: 0.034939
[Epoch 2 | Batch 110/1337] Loss: 0.025540
[Epoch 2 | Batch 120/1337] Loss: 0.026627
[Epoch 2 | Batch 130/1337] Loss: 0.025136
[Epoch 2 | Batch 140/1337] Loss: 0.031412
[Epoch 2 | Batch 150/1337] Loss: 0.021965
[Epoch 2 | Batch 160/1337] Loss: 0.027985
[Epoch 2 | Batch 170/1337] Loss: 0.022290
[Epoch 2 | Batch 180/1337] Loss: 0.017882
[Epoch 2 | Batch 190/1337] Loss: 0.033573
[Epoch 2 | Batch 200/1337] Loss: 0.023064
[Epoch 2 | Batch 210/1337] Loss: 0.035319
[Epoch 2 | Batch 220/1337] Loss: 0.017292
[Epoch 2 | Batch 230/1337] Loss: 0.029323
[Epoch 2 | Batch 240/1337] Loss: 0.020963
[Epoch 2 | Batch 250/1337] Loss: 0.030752
[Epoch 2 | Batch 260/1337] Loss: 0.021107
[Epoch 2 | Batch 270/1337] Loss: 0.033710
[Epoch 2 | Batch 280/1337] Loss: 0.032591
[Epoch 2 | Batch 290/1337] Loss: 0.023618
[Epoch 2 | Batch 300/1337] Loss: 0.033775
[Epoch 2 | Batch 310/1337] Loss: 0.025551
[Epoch 2 | Batch 320/1337] Loss: 0.021560
[Epoch 2 | Batch 330/1337] Loss: 0.015056
[Epoch 2 | Batch 340/1337] Loss: 0.024539
[Epoch 2 | Batch 350/1337] Loss: 0.023924
[Epoch 2 | Batch 360/1337] Loss: 0.030094
[Epoch 2 | Batch 370/1337] Loss: 0.024728
[Epoch 2 | Batch 380/1337] Loss: 0.022311
[Epoch 2 | Batch 390/1337] Loss: 0.025957
[Epoch 2 | Batch 400/1337] Loss: 0.025766
[Epoch 2 | Batch 410/1337] Loss: 0.019192
[Epoch 2 | Batch 420/1337] Loss: 0.022909
[Epoch 2 | Batch 430/1337] Loss: 0.022588
[Epoch 2 | Batch 440/1337] Loss: 0.024445
[Epoch 2 | Batch 450/1337] Loss: 0.022523
[Epoch 2 | Batch 460/1337] Loss: 0.025575
[Epoch 2 | Batch 470/1337] Loss: 0.022300
[Epoch 2 | Batch 480/1337] Loss: 0.019615
[Epoch 2 | Batch 490/1337] Loss: 0.027450
[Epoch 2 | Batch 500/1337] Loss: 0.025271
[Epoch 2 | Batch 510/1337] Loss: 0.027785
[Epoch 2 | Batch 520/1337] Loss: 0.024904
[Epoch 2 | Batch 530/1337] Loss: 0.018195
[Epoch 2 | Batch 540/1337] Loss: 0.021947
[Epoch 2 | Batch 550/1337] Loss: 0.019502
[Epoch 2 | Batch 560/1337] Loss: 0.029613
[Epoch 2 | Batch 570/1337] Loss: 0.022674
[Epoch 2 | Batch 580/1337] Loss: 0.027236
[Epoch 2 | Batch 590/1337] Loss: 0.023346
[Epoch 2 | Batch 600/1337] Loss: 0.017790
