
============================================================
DATA DISTRIBUTION CHECK
============================================================
Train sample - Features: shape=torch.Size([24, 100]), mean=-0.0419, std=0.4582
Train sample - Targets:  shape=torch.Size([1, 100]), mean=-2.0562, std=0.0233
Val sample   - Features: shape=torch.Size([24, 100]), mean=0.0291, std=0.4026
Val sample   - Targets:  shape=torch.Size([1, 100]), mean=-2.0665, std=0.0047
============================================================
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)


============================================================
Epoch 1/30
============================================================
Training:
  [Epoch 1, Batch 780/1337] Loss: 0.216748, R2: -36.3162
  [Epoch 1, Batch 790/1337] Loss: 0.341247, R2: -25.0708
  [Epoch 1, Batch 800/1337] Loss: 0.319511, R2: -383.2697
  [Epoch 1, Batch 810/1337] Loss: 0.337602, R2: -164.9832
  [Epoch 1, Batch 820/1337] Loss: 0.191798, R2: -62.7048
  [Epoch 1, Batch 830/1337] Loss: 0.202797, R2: -26.7925
  [Epoch 1, Batch 840/1337] Loss: 0.308113, R2: -24.7422
  [Epoch 1, Batch 850/1337] Loss: 0.270390, R2: -8.1475
  [Epoch 1, Batch 860/1337] Loss: 0.189470, R2: -52.6255
  [Epoch 1, Batch 870/1337] Loss: 0.202418, R2: -35.9779
  [Epoch 1, Batch 880/1337] Loss: 0.200260, R2: -18.1212
  [Epoch 1, Batch 890/1337] Loss: 0.249134, R2: -1637.5491
  [Epoch 1, Batch 900/1337] Loss: 0.291987, R2: -301.2478
  [Epoch 1, Batch 910/1337] Loss: 0.172694, R2: -36.9671
  [Epoch 1, Batch 920/1337] Loss: 0.273823, R2: -19.5209
  [Epoch 1, Batch 930/1337] Loss: 0.227814, R2: -31.9166
  [Epoch 1, Batch 940/1337] Loss: 0.257108, R2: -19.8601
  [Epoch 1, Batch 950/1337] Loss: 0.198780, R2: -49.8751
  [Epoch 1, Batch 960/1337] Loss: 0.168121, R2: -16.9361
  [Epoch 1, Batch 970/1337] Loss: 0.142272, R2: -46.2812
  [Epoch 1, Batch 980/1337] Loss: 0.184045, R2: -16.1962
  [Epoch 1, Batch 990/1337] Loss: 0.218471, R2: -17.0115
  [Epoch 1, Batch 1000/1337] Loss: 0.303508, R2: -19.2861
  [Epoch 1, Batch 1010/1337] Loss: 0.198083, R2: -7.2611
  [Epoch 1, Batch 1020/1337] Loss: 0.240307, R2: -19.9644
  [Epoch 1, Batch 1030/1337] Loss: 0.286596, R2: -91.2920
  [Epoch 1, Batch 1040/1337] Loss: 0.297347, R2: -244.8190
  [Epoch 1, Batch 1050/1337] Loss: 0.434625, R2: -32.3380
  [Epoch 1, Batch 1060/1337] Loss: 0.234741, R2: -55.2708
  [Epoch 1, Batch 1070/1337] Loss: 0.263682, R2: -71.5648
  [Epoch 1, Batch 1080/1337] Loss: 0.296759, R2: -81.7045
  [Epoch 1, Batch 1090/1337] Loss: 0.224495, R2: -12.0348
  [Epoch 1, Batch 1100/1337] Loss: 0.266906, R2: -121.2723
  [Epoch 1, Batch 1110/1337] Loss: 0.141518, R2: -71.7669
  [Epoch 1, Batch 1120/1337] Loss: 0.172778, R2: -25.2598
  [Epoch 1, Batch 1130/1337] Loss: 0.245138, R2: -24.7885
  [Epoch 1, Batch 1140/1337] Loss: 0.199417, R2: -26.2570
  [Epoch 1, Batch 1150/1337] Loss: 0.186241, R2: -31.2580
  [Epoch 1, Batch 1160/1337] Loss: 0.210175, R2: -13.1533
  [Epoch 1, Batch 1170/1337] Loss: 0.208795, R2: -3.8267
  [Epoch 1, Batch 1180/1337] Loss: 0.191337, R2: -26.7162
  [Epoch 1, Batch 1190/1337] Loss: 0.336861, R2: -27.0515
  [Epoch 1, Batch 1200/1337] Loss: 0.222937, R2: -14.9067
  [Epoch 1, Batch 1210/1337] Loss: 0.295275, R2: -149.7448
  [Epoch 1, Batch 1220/1337] Loss: 0.171445, R2: -17.3608
  [Epoch 1, Batch 1230/1337] Loss: 0.211168, R2: -17.6926
  [Epoch 1, Batch 1240/1337] Loss: 0.207905, R2: -18.9261
  [Epoch 1, Batch 1250/1337] Loss: 0.255532, R2: -15.8959
  [Epoch 1, Batch 1260/1337] Loss: 0.245376, R2: -39.7415
  [Epoch 1, Batch 1270/1337] Loss: 0.256630, R2: -13.1628
  [Epoch 1, Batch 1280/1337] Loss: 0.317287, R2: -41.0767
  [Epoch 1, Batch 1290/1337] Loss: 0.270407, R2: -53.4235
  [Epoch 1, Batch 1300/1337] Loss: 0.509595, R2: -7.4982
  [Epoch 1, Batch 1310/1337] Loss: 0.199498, R2: -28.3380
  [Epoch 1, Batch 1320/1337] Loss: 0.221738, R2: -30.3261
  [Epoch 1, Batch 1330/1337] Loss: 0.247386, R2: -557.2642
